VTypL;First Document Type;Count;Percentage
Rechtsverordnung, Verwaltungsvorschrift, Richtlinie;none;29;87.88
Rechtsverordnung, Verwaltungsvorschrift, Richtlinie;Sitzung;3;9.09
Rechtsverordnung, Verwaltungsvorschrift, Richtlinie;Bekanntmachung;1;3.03
