VTypL;First Document Type;Count;Percentage
Gesetzgebung;Gesetzentwurf;1097;96.91
Gesetzgebung;Bekanntmachung der Neufassung;19;1.68
Gesetzgebung;Bekanntmachung über das Inkrafttreten;5;0.44
Gesetzgebung;Bekanntmachung;4;0.35
Gesetzgebung;Berichtigung des Gesetzes;2;0.18
Gesetzgebung;none;2;0.18
Gesetzgebung;Berichtigung der Bekanntmachung;1;0.09
Gesetzgebung;Beschlussempfehlung und Bericht;1;0.09
Gesetzgebung;Mitteilung;1;0.09
