VTypL;First Document Type;Count;Percentage
Antrag;Antrag;3727;91.35
Antrag;Antrag auf Aktuelle Stunde;120;2.94
Antrag;Antrag (Aktuelle Stunde);74;1.81
Antrag;Antrag mit Wahlvorschlag;50;1.23
Antrag;Entschließungsantrag;41;1.0
