VTypL;First Document Type;Count;Percentage
Gesetzgebung;Gesetzentwurf;1388;75.23
Gesetzgebung;Sitzung;380;20.6
Gesetzgebung;Bekanntmachung;70;3.79
Gesetzgebung;Beschlussempfehlung und Bericht;3;0.16
Gesetzgebung;Antrag;1;0.05
Gesetzgebung;Sitzung öffentlich;1;0.05
Gesetzgebung;Sondersitzung nichtöffentlich;1;0.05
Gesetzgebung;none;1;0.05
