VTypL;First Document Type;Count;Percentage
Bericht;Mitteilung;2779;91.81
Bericht;Beschlussempfehlung und Bericht;194;6.41
Bericht;none;29;0.96
Bericht;Regierungserklärung;6;0.2
Bericht;Aktuelle Debatte;4;0.13
Bericht;Bericht;3;0.1
Bericht;['Beschlussempfehlung und Bericht', 'Antrag'];3;0.1
Bericht;Antrag und Stellungnahme;2;0.07
Bericht;Beschlussempfehlung;2;0.07
Bericht;Beschlussempfehlungen und Berichte (Sammeldrucksache);2;0.07
Bericht;Vorschlag;2;0.07
Bericht;Änderungsantrag;1;0.03
