VTypL;First Document Type;Count;Percentage
Beschlussempfehlung und Bericht eines Ausschusses;Sitzung;56;77.78
Beschlussempfehlung und Bericht eines Ausschusses;Beschlussempfehlung und Bericht;15;20.83
Beschlussempfehlung und Bericht eines Ausschusses;none;1;1.39
